user_id,total_submissions,first_sub_time,last_sub_time,unique_problems_attempted,accepted_problems,accepted_count,unique_active_days,mid_high_attempted,first_result,D_prior,acceptance_rate,Y_low_completion
1,1111,2018-09-14 14:14:53.763697+00:00,2021-07-14 01:41:36.165556+00:00,324,300,521,138,297,0,1,0.46894689468946893,0
34,27,2018-09-15 07:49:59.757672+00:00,2018-09-23 14:20:04.120065+00:00,9,8,13,4,0,-2,0,0.48148148148148145,0
35,13,2018-09-15 14:22:51.101301+00:00,2018-09-21 02:09:33.066031+00:00,6,5,7,4,4,0,1,0.5384615384615384,0
36,7,2018-09-15 14:50:48.708696+00:00,2018-09-24 03:52:25.120498+00:00,3,2,2,2,2,4,0,0.2857142857142857,1
37,19,2018-09-17 04:59:40.564744+00:00,2018-09-20 02:11:06.490465+00:00,18,18,18,3,17,0,1,0.9473684210526315,0
38,3,2018-09-15 23:11:07.846040+00:00,2018-09-15 23:13:42.327272+00:00,1,0,0,1,0,-2,0,0.0,1
39,15,2018-09-19 13:30:18.160103+00:00,2018-09-23 03:13:06.346791+00:00,8,7,7,3,6,0,1,0.4666666666666667,0
40,6,2018-09-23 04:01:09.731992+00:00,2018-09-23 09:02:01.362757+00:00,2,2,3,1,0,-1,0,0.5,1
41,20,2018-09-23 10:04:20.046309+00:00,2018-09-23 14:58:31.231295+00:00,14,12,13,1,8,0,1,0.65,0
42,6,2018-09-23 01:44:47.968508+00:00,2018-09-23 02:37:15.924895+00:00,2,2,2,1,0,-2,0,0.3333333333333333,1
43,13,2018-09-23 01:47:47.080381+00:00,2018-09-24 14:13:33.240203+00:00,11,10,10,2,3,0,1,0.7692307692307693,0
44,1,2018-09-23 02:08:49.723601+00:00,2018-09-23 02:08:49.723601+00:00,1,1,1,1,1,0,1,1.0,1
45,2,2018-09-23 01:54:01.446715+00:00,2018-09-23 02:18:33.576032+00:00,1,0,0,1,0,-2,0,0.0,1
46,8,2018-09-23 01:58:28.517257+00:00,2018-09-23 08:20:20.250868+00:00,5,3,3,1,0,0,1,0.375,1
48,36,2018-09-23 02:37:24.524756+00:00,2018-09-24 16:11:32.314349+00:00,13,11,12,2,3,0,1,0.3333333333333333,0
49,24,2018-09-23 02:31:42.831604+00:00,2018-09-24 17:27:17.986050+00:00,4,3,3,2,0,-2,0,0.125,1
50,29,2018-09-23 03:02:51.434907+00:00,2018-09-24 14:42:25.133903+00:00,9,6,7,2,5,-1,0,0.2413793103448276,0
51,66,2018-09-23 02:38:17.743892+00:00,2018-09-28 04:12:48.501273+00:00,34,31,33,3,30,-1,0,0.5,0
52,6,2018-09-23 02:38:53.734864+00:00,2018-09-23 12:01:28.231685+00:00,4,4,5,1,2,0,1,0.8333333333333334,1
53,13,2018-09-23 02:41:13.311035+00:00,2018-09-24 09:53:48.653839+00:00,6,6,9,2,0,0,1,0.6923076923076923,0
55,4,2018-09-23 02:56:31.464838+00:00,2018-09-23 07:48:10.634713+00:00,3,3,3,1,2,0,1,0.75,1
56,10,2018-09-23 02:55:05.920889+00:00,2018-09-24 05:01:27.264749+00:00,2,2,2,2,0,0,1,0.2,1
57,15,2018-09-23 02:59:52.857767+00:00,2018-09-23 12:52:21.333083+00:00,6,6,6,1,9,0,1,0.4,0
58,19,2018-09-23 07:04:28.926123+00:00,2018-09-23 13:56:57.330720+00:00,5,4,4,1,0,0,1,0.21052631578947367,1
59,20,2018-09-23 04:33:17.590094+00:00,2018-09-23 10:49:44.071714+00:00,7,7,8,1,11,0,1,0.4,0
60,4,2018-09-23 05:28:51.748397+00:00,2018-09-24 14:02:04.030122+00:00,3,2,2,2,0,0,1,0.5,1
61,8,2018-09-23 04:07:44.350819+00:00,2018-09-24 16:46:47.914682+00:00,5,5,5,2,0,0,1,0.625,0
62,4,2018-09-23 15:55:36.763600+00:00,2018-09-24 11:33:34.370712+00:00,2,0,0,2,0,-1,0,0.0,1
63,11,2018-09-23 04:16:54.711913+00:00,2018-09-23 14:49:18.213865+00:00,5,3,4,1,0,-2,0,0.36363636363636365,1
64,13,2018-09-23 07:56:46.673455+00:00,2018-09-23 14:12:12.844804+00:00,7,7,7,1,0,-1,0,0.5384615384615384,0
65,1,2018-09-23 09:06:30.163819+00:00,2018-09-23 09:06:30.163819+00:00,1,1,1,1,0,0,1,1.0,1
66,3,2018-09-23 09:42:10.035580+00:00,2018-09-25 00:26:39.777563+00:00,2,2,3,2,0,0,1,1.0,1
67,10,2018-09-23 10:13:46.310251+00:00,2018-09-23 13:17:39.582187+00:00,7,7,7,1,2,0,1,0.7,0
68,8,2018-09-23 11:52:06.277411+00:00,2018-09-25 03:44:31.392215+00:00,8,4,4,2,4,0,1,0.5,1
69,109,2018-09-23 12:19:22.416691+00:00,2018-09-24 11:27:32.243174+00:00,30,26,28,2,16,4,0,0.25688073394495414,0
70,17,2018-09-23 13:14:59.937785+00:00,2018-09-24 15:08:22.565615+00:00,10,10,11,2,7,0,1,0.6470588235294118,0
71,6,2018-09-23 15:23:58.987311+00:00,2018-09-23 16:10:05.314370+00:00,2,1,1,1,0,0,1,0.16666666666666666,1
73,2,2018-09-23 15:45:33.876911+00:00,2018-09-23 15:45:57.296591+00:00,1,1,1,1,0,0,1,0.5,1
74,5,2018-09-24 10:05:09.567186+00:00,2018-09-24 21:22:52.596951+00:00,5,5,5,1,0,0,1,1.0,0
75,8,2018-09-24 01:42:16.547306+00:00,2018-09-24 16:49:33.355634+00:00,5,5,5,1,2,0,1,0.625,0
77,19,2018-09-25 00:49:02.672651+00:00,2018-09-25 03:29:48.557731+00:00,4,2,2,1,19,0,1,0.10526315789473684,1
78,22,2018-09-25 00:50:59.841811+00:00,2018-09-25 03:44:42.572802+00:00,7,5,5,1,22,0,1,0.22727272727272727,0
80,25,2018-09-25 00:40:27.554011+00:00,2018-09-25 03:32:49.626016+00:00,9,8,8,1,23,0,1,0.32,0
81,17,2018-09-25 00:48:42.014822+00:00,2018-09-25 03:44:41.827897+00:00,4,2,2,1,17,0,1,0.11764705882352941,1
82,36,2018-09-25 00:47:24.361925+00:00,2018-09-25 03:36:30.408624+00:00,6,4,4,1,36,0,1,0.1111111111111111,1
83,14,2018-09-25 01:40:25.696128+00:00,2018-09-25 03:44:50.103467+00:00,3,2,2,1,14,-2,0,0.14285714285714285,1
84,24,2018-09-25 00:50:41.009592+00:00,2018-09-25 03:42:15.167370+00:00,5,3,3,1,24,0,1,0.125,1
87,44,2018-09-25 00:50:49.565202+00:00,2018-09-25 03:41:43.835733+00:00,6,3,3,1,44,-2,0,0.06818181818181818,1
89,16,2018-09-25 01:18:09.372387+00:00,2018-09-25 03:36:19.645844+00:00,4,1,1,1,16,0,1,0.0625,1
90,22,2018-09-25 00:53:34.778775+00:00,2018-09-25 03:03:26.286236+00:00,6,6,6,1,22,0,1,0.2727272727272727,0
91,23,2018-09-25 01:16:18.690973+00:00,2018-09-25 03:44:46.938306+00:00,6,1,1,1,22,-2,0,0.043478260869565216,1
94,2,2018-09-25 01:03:31.237612+00:00,2018-09-25 03:23:41.572575+00:00,2,1,1,1,2,0,1,0.5,1
96,18,2018-09-25 00:55:05.378928+00:00,2018-09-25 03:28:50.767007+00:00,6,6,6,1,18,0,1,0.3333333333333333,0
97,34,2018-09-25 00:48:15.569460+00:00,2018-09-25 03:37:42.243766+00:00,6,5,5,1,34,0,1,0.14705882352941177,0
102,13,2018-09-25 00:52:31.042068+00:00,2018-09-25 03:38:53.742728+00:00,5,1,1,1,13,0,1,0.07692307692307693,1
104,15,2018-09-25 00:50:52.539365+00:00,2018-09-25 03:44:19.561688+00:00,3,1,1,1,15,-1,0,0.06666666666666667,1
105,22,2018-09-25 00:53:30.063435+00:00,2018-09-25 03:42:16.853462+00:00,7,4,4,1,22,0,1,0.18181818181818182,1
106,6,2018-09-25 01:05:51.023552+00:00,2018-09-25 02:57:32.233848+00:00,4,0,0,1,6,-2,0,0.0,1
107,33,2018-09-25 00:50:17.354351+00:00,2018-09-25 03:39:32.179907+00:00,7,6,6,1,33,0,1,0.18181818181818182,0
108,4,2018-09-25 01:04:13.509337+00:00,2018-09-25 03:35:20.039839+00:00,4,1,1,1,4,0,1,0.25,1
109,16,2018-09-25 00:53:28.864456+00:00,2018-09-25 03:44:23.108863+00:00,3,1,1,1,16,0,1,0.0625,1
110,6,2018-09-25 00:57:23.728006+00:00,2018-09-25 03:44:12.749633+00:00,4,1,1,1,6,0,1,0.16666666666666666,1
