code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,total_clicks,forumng_clicks,edu_simple,D_peer,Y_withdrawn,Y_pass
CCC,2014B,28418.0,F,West Midlands Region,A Level or Equivalent,20-30%,0-35,0.0,30.0,N,Fail,328.0,1.0,High,1,0,0
CCC,2014B,29764.0,M,East Anglian Region,A Level or Equivalent,50-60%,0-35,0.0,90.0,N,Distinction,2867.0,21.0,High,1,0,1
CCC,2014B,29820.0,M,East Anglian Region,HE Qualification,40-50%,0-35,0.0,60.0,N,Pass,1027.0,173.0,High,1,0,1
CCC,2014B,40333.0,M,North Region,HE Qualification,0-10%,35-55,0.0,30.0,N,Withdrawn,174.0,10.0,High,1,1,0
CCC,2014B,40604.0,M,Ireland,A Level or Equivalent,,35-55,0.0,30.0,N,Pass,465.0,14.0,High,1,0,1
CCC,2014B,42638.0,M,Scotland,HE Qualification,90-100%,35-55,0.0,60.0,N,Pass,5659.0,1524.0,High,1,0,1
CCC,2014B,45664.0,M,Yorkshire Region,HE Qualification,60-70%,0-35,0.0,60.0,N,Withdrawn,397.0,2.0,High,1,1,0
CCC,2014B,46605.0,M,East Anglian Region,HE Qualification,60-70%,35-55,0.0,60.0,N,Distinction,3427.0,1331.0,High,1,0,1
CCC,2014B,49119.0,M,Ireland,HE Qualification,,0-35,0.0,90.0,N,Distinction,2014.0,378.0,High,1,0,1
CCC,2014B,50263.0,M,West Midlands Region,HE Qualification,80-90%,35-55,0.0,60.0,N,Withdrawn,425.0,10.0,High,1,1,0
CCC,2014B,51576.0,F,London Region,Lower Than A Level,10-20,0-35,0.0,90.0,N,Withdrawn,799.0,414.0,Low,1,1,0
CCC,2014B,54391.0,M,South West Region,Lower Than A Level,10-20,0-35,0.0,60.0,N,Withdrawn,179.0,1.0,Low,1,1,0
CCC,2014B,57340.0,F,East Anglian Region,A Level or Equivalent,20-30%,0-35,0.0,120.0,N,Pass,1090.0,60.0,High,1,0,1
CCC,2014B,59541.0,M,East Anglian Region,A Level or Equivalent,40-50%,0-35,0.0,30.0,Y,Withdrawn,441.0,17.0,High,1,1,0
CCC,2014B,62278.0,M,West Midlands Region,A Level or Equivalent,30-40%,0-35,0.0,40.0,N,Fail,1037.0,103.0,High,1,0,0
CCC,2014B,64296.0,M,Scotland,HE Qualification,20-30%,0-35,0.0,60.0,N,Fail,633.0,80.0,High,1,0,0
CCC,2014B,66254.0,F,Ireland,A Level or Equivalent,,0-35,0.0,30.0,N,Fail,2149.0,468.0,High,1,0,0
CCC,2014B,69489.0,M,South West Region,Lower Than A Level,80-90%,0-35,0.0,150.0,N,Withdrawn,0.0,0.0,Low,0,1,0
CCC,2014B,69494.0,F,Yorkshire Region,No Formal quals,20-30%,0-35,0.0,80.0,N,Withdrawn,2049.0,120.0,Other,1,1,0
CCC,2014B,69703.0,M,Yorkshire Region,Lower Than A Level,20-30%,0-35,0.0,120.0,N,Pass,695.0,103.0,Low,1,0,1
CCC,2014B,70381.0,M,Scotland,HE Qualification,30-40%,35-55,0.0,30.0,N,Pass,755.0,1.0,High,1,0,1
CCC,2014B,70771.0,M,Scotland,HE Qualification,40-50%,0-35,0.0,60.0,N,Withdrawn,181.0,16.0,High,1,1,0
CCC,2014B,74290.0,M,Scotland,Lower Than A Level,10-20,0-35,0.0,60.0,N,Withdrawn,271.0,20.0,Low,1,1,0
CCC,2014B,75454.0,M,South West Region,A Level or Equivalent,80-90%,0-35,0.0,120.0,N,Pass,4465.0,201.0,High,1,0,1
CCC,2014B,75469.0,M,East Midlands Region,A Level or Equivalent,80-90%,0-35,0.0,210.0,N,Withdrawn,0.0,0.0,High,0,1,0
CCC,2014B,75728.0,F,South West Region,HE Qualification,30-40%,35-55,0.0,30.0,N,Fail,1868.0,271.0,High,1,0,0
CCC,2014B,79461.0,M,Scotland,A Level or Equivalent,70-80%,0-35,0.0,90.0,N,Withdrawn,810.0,163.0,High,1,1,0
CCC,2014B,80329.0,M,South Region,Lower Than A Level,80-90%,0-35,0.0,120.0,N,Withdrawn,3519.0,369.0,Low,1,1,0
CCC,2014B,82575.0,M,West Midlands Region,HE Qualification,80-90%,0-35,0.0,30.0,N,Distinction,658.0,19.0,High,1,0,1
CCC,2014B,83219.0,F,West Midlands Region,A Level or Equivalent,0-10%,0-35,0.0,60.0,N,Pass,1055.0,118.0,High,1,0,1
CCC,2014B,83453.0,M,West Midlands Region,HE Qualification,40-50%,35-55,0.0,30.0,N,Withdrawn,382.0,24.0,High,1,1,0
CCC,2014B,84299.0,M,London Region,A Level or Equivalent,20-30%,0-35,0.0,120.0,N,Withdrawn,759.0,10.0,High,1,1,0
CCC,2014B,86047.0,F,Wales,HE Qualification,20-30%,0-35,0.0,30.0,N,Withdrawn,175.0,2.0,High,1,1,0
CCC,2014B,88758.0,M,North Region,Post Graduate Qualification,,35-55,0.0,330.0,N,Withdrawn,51.0,0.0,Other,0,1,0
CCC,2014B,94484.0,M,West Midlands Region,Lower Than A Level,20-30%,35-55,0.0,120.0,Y,Pass,2275.0,3.0,Low,1,0,1
CCC,2014B,95906.0,F,East Midlands Region,A Level or Equivalent,50-60%,0-35,0.0,120.0,N,Pass,1721.0,297.0,High,1,0,1
CCC,2014B,96538.0,M,North Region,Lower Than A Level,0-10%,0-35,0.0,60.0,N,Fail,182.0,0.0,Low,0,0,0
CCC,2014B,97486.0,M,North Western Region,HE Qualification,70-80%,35-55,0.0,60.0,N,Withdrawn,7.0,0.0,High,0,1,0
CCC,2014B,100621.0,M,West Midlands Region,A Level or Equivalent,50-60%,35-55,0.0,60.0,N,Withdrawn,59.0,1.0,High,1,1,0
CCC,2014B,105523.0,M,Scotland,HE Qualification,60-70%,35-55,0.0,90.0,N,Pass,1201.0,22.0,High,1,0,1
CCC,2014B,107028.0,M,East Midlands Region,Lower Than A Level,10-20,0-35,0.0,90.0,N,Withdrawn,85.0,0.0,Low,0,1,0
CCC,2014B,107339.0,F,Scotland,HE Qualification,10-20,0-35,0.0,60.0,N,Pass,2383.0,385.0,High,1,0,1
CCC,2014B,108834.0,M,West Midlands Region,A Level or Equivalent,10-20,0-35,0.0,90.0,N,Withdrawn,290.0,23.0,High,1,1,0
CCC,2014B,108947.0,M,Scotland,Lower Than A Level,0-10%,0-35,0.0,120.0,N,Withdrawn,0.0,0.0,Low,0,1,0
CCC,2014B,116174.0,M,London Region,A Level or Equivalent,40-50%,35-55,0.0,90.0,N,Withdrawn,76.0,0.0,High,0,1,0
CCC,2014B,116518.0,M,London Region,HE Qualification,30-40%,0-35,0.0,80.0,N,Pass,942.0,44.0,High,1,0,1
CCC,2014B,117232.0,M,Ireland,A Level or Equivalent,20-30%,0-35,0.0,90.0,N,Pass,1099.0,39.0,High,1,0,1
CCC,2014B,118098.0,M,East Midlands Region,HE Qualification,60-70%,0-35,0.0,30.0,N,Fail,537.0,0.0,High,0,0,0
CCC,2014B,119353.0,M,North Region,A Level or Equivalent,30-40%,35-55,0.0,90.0,N,Withdrawn,58.0,10.0,High,1,1,0
CCC,2014B,119729.0,M,East Anglian Region,HE Qualification,90-100%,35-55,0.0,30.0,N,Withdrawn,573.0,11.0,High,1,1,0
CCC,2014B,122392.0,M,London Region,A Level or Equivalent,10-20,35-55,0.0,60.0,N,Pass,809.0,52.0,High,1,0,1
CCC,2014B,123598.0,M,Scotland,A Level or Equivalent,50-60%,0-35,0.0,90.0,Y,Withdrawn,1286.0,161.0,High,1,1,0
CCC,2014B,124124.0,F,Scotland,Lower Than A Level,20-30%,0-35,0.0,60.0,N,Withdrawn,21.0,0.0,Low,0,1,0
CCC,2014B,124193.0,M,East Anglian Region,HE Qualification,40-50%,35-55,0.0,30.0,N,Distinction,945.0,144.0,High,1,0,1
CCC,2014B,126337.0,M,West Midlands Region,Lower Than A Level,20-30%,0-35,0.0,75.0,N,Withdrawn,729.0,144.0,Low,1,1,0
CCC,2014B,126394.0,M,Wales,A Level or Equivalent,90-100%,0-35,0.0,120.0,N,Pass,1898.0,474.0,High,1,0,1
CCC,2014B,126395.0,M,London Region,A Level or Equivalent,20-30%,0-35,0.0,30.0,Y,Pass,1549.0,34.0,High,1,0,1
CCC,2014B,128510.0,F,Scotland,Lower Than A Level,50-60%,0-35,0.0,180.0,N,Withdrawn,872.0,208.0,Low,1,1,0
CCC,2014B,129198.0,F,North Western Region,HE Qualification,20-30%,35-55,0.0,150.0,Y,Withdrawn,1516.0,19.0,High,1,1,0
CCC,2014B,129638.0,F,London Region,Lower Than A Level,30-40%,35-55,0.0,30.0,N,Withdrawn,921.0,15.0,Low,1,1,0
CCC,2014B,129878.0,M,East Midlands Region,Lower Than A Level,40-50%,35-55,0.0,45.0,N,Fail,251.0,5.0,Low,1,0,0
CCC,2014B,131145.0,M,South West Region,A Level or Equivalent,40-50%,0-35,0.0,90.0,N,Distinction,4894.0,838.0,High,1,0,1
CCC,2014B,131695.0,F,East Midlands Region,Lower Than A Level,0-10%,0-35,0.0,120.0,N,Withdrawn,0.0,0.0,Low,0,1,0
CCC,2014B,131933.0,M,Scotland,Post Graduate Qualification,60-70%,35-55,0.0,30.0,N,Withdrawn,2039.0,67.0,Other,1,1,0
CCC,2014B,132191.0,M,West Midlands Region,A Level or Equivalent,50-60%,0-35,0.0,60.0,Y,Withdrawn,79.0,1.0,High,1,1,0
CCC,2014B,133104.0,M,London Region,Lower Than A Level,10-20,0-35,0.0,120.0,Y,Distinction,1469.0,227.0,Low,1,0,1
CCC,2014B,134025.0,M,London Region,A Level or Equivalent,60-70%,0-35,0.0,60.0,N,Withdrawn,836.0,93.0,High,1,1,0
CCC,2014B,135330.0,M,Scotland,HE Qualification,90-100%,35-55,0.0,60.0,N,Fail,242.0,31.0,High,1,0,0
CCC,2014B,135792.0,M,South West Region,Lower Than A Level,50-60%,0-35,0.0,60.0,N,Fail,728.0,87.0,Low,1,0,0
CCC,2014B,139190.0,M,East Midlands Region,Lower Than A Level,50-60%,0-35,0.0,150.0,N,Withdrawn,199.0,5.0,Low,1,1,0
CCC,2014B,142935.0,F,London Region,Lower Than A Level,10-20,35-55,0.0,60.0,N,Pass,6160.0,347.0,Low,1,0,1
CCC,2014B,145282.0,M,Yorkshire Region,Lower Than A Level,60-70%,0-35,0.0,60.0,N,Distinction,1552.0,89.0,Low,1,0,1
CCC,2014B,146125.0,M,Yorkshire Region,Lower Than A Level,80-90%,0-35,0.0,60.0,N,Withdrawn,0.0,0.0,Low,0,1,0
CCC,2014B,147675.0,M,West Midlands Region,A Level or Equivalent,70-80%,35-55,0.0,30.0,N,Withdrawn,866.0,26.0,High,1,1,0
CCC,2014B,151549.0,M,West Midlands Region,Lower Than A Level,70-80%,35-55,0.0,30.0,N,Fail,285.0,23.0,Low,1,0,0
CCC,2014B,152428.0,F,West Midlands Region,A Level or Equivalent,20-30%,0-35,0.0,120.0,N,Pass,3064.0,428.0,High,1,0,1
CCC,2014B,152962.0,F,East Anglian Region,A Level or Equivalent,80-90%,35-55,0.0,30.0,N,Pass,8137.0,23.0,High,1,0,1
CCC,2014B,153687.0,F,South Region,A Level or Equivalent,60-70%,35-55,0.0,400.0,N,Withdrawn,0.0,0.0,High,0,1,0
CCC,2014B,153788.0,M,North Western Region,No Formal quals,20-30%,0-35,0.0,90.0,N,Withdrawn,357.0,143.0,Other,1,1,0
CCC,2014B,155067.0,M,North Western Region,Lower Than A Level,0-10%,35-55,0.0,45.0,N,Fail,75.0,5.0,Low,1,0,0
CCC,2014B,155963.0,M,North Region,A Level or Equivalent,10-20,0-35,0.0,60.0,N,Distinction,452.0,58.0,High,1,0,1
CCC,2014B,157310.0,F,Yorkshire Region,Lower Than A Level,40-50%,0-35,0.0,210.0,N,Withdrawn,21.0,0.0,Low,0,1,0
CCC,2014B,160300.0,M,East Anglian Region,A Level or Equivalent,10-20,35-55,0.0,60.0,N,Pass,2235.0,57.0,High,1,0,1
CCC,2014B,162650.0,M,West Midlands Region,HE Qualification,40-50%,35-55,0.0,30.0,N,Fail,399.0,14.0,High,1,0,0
CCC,2014B,165647.0,F,Scotland,A Level or Equivalent,30-40%,0-35,0.0,120.0,N,Withdrawn,710.0,49.0,High,1,1,0
CCC,2014B,165733.0,M,Scotland,A Level or Equivalent,20-30%,0-35,0.0,90.0,Y,Withdrawn,1673.0,91.0,High,1,1,0
CCC,2014B,166160.0,F,South Region,HE Qualification,80-90%,0-35,0.0,30.0,N,Distinction,3160.0,10.0,High,1,0,1
CCC,2014B,167791.0,M,North Western Region,A Level or Equivalent,20-30%,35-55,0.0,60.0,N,Pass,1509.0,39.0,High,1,0,1
CCC,2014B,168178.0,M,London Region,A Level or Equivalent,40-50%,35-55,0.0,30.0,Y,Pass,1293.0,66.0,High,1,0,1
CCC,2014B,169380.0,M,East Midlands Region,A Level or Equivalent,50-60%,35-55,0.0,60.0,N,Pass,993.0,49.0,High,1,0,1
CCC,2014B,170025.0,F,East Anglian Region,HE Qualification,90-100%,0-35,0.0,60.0,N,Withdrawn,74.0,1.0,High,1,1,0
CCC,2014B,170864.0,M,Scotland,HE Qualification,90-100%,35-55,0.0,60.0,Y,Distinction,4774.0,2000.0,High,1,0,1
CCC,2014B,171896.0,F,South East Region,A Level or Equivalent,40-50%,0-35,0.0,60.0,N,Withdrawn,1168.0,224.0,High,1,1,0
CCC,2014B,172301.0,M,East Midlands Region,Lower Than A Level,0-10%,0-35,0.0,60.0,N,Withdrawn,35.0,0.0,Low,0,1,0
CCC,2014B,172965.0,M,Scotland,Post Graduate Qualification,60-70%,35-55,0.0,150.0,N,Distinction,1207.0,10.0,Other,1,0,1
CCC,2014B,174807.0,F,South West Region,HE Qualification,20-30%,35-55,0.0,90.0,N,Withdrawn,0.0,0.0,High,0,1,0
CCC,2014B,175490.0,F,South Region,HE Qualification,40-50%,0-35,0.0,60.0,N,Distinction,2360.0,153.0,High,1,0,1
CCC,2014B,177967.0,M,Scotland,A Level or Equivalent,0-10%,0-35,0.0,30.0,N,Pass,765.0,7.0,High,1,0,1
CCC,2014B,178072.0,M,South East Region,A Level or Equivalent,0-10%,0-35,0.0,60.0,N,Withdrawn,516.0,44.0,High,1,1,0
CCC,2014B,178496.0,M,North Region,HE Qualification,,0-35,0.0,30.0,N,Distinction,448.0,3.0,High,1,0,1
CCC,2014B,178654.0,F,Scotland,HE Qualification,60-70%,35-55,0.0,30.0,N,Withdrawn,0.0,0.0,High,0,1,0
CCC,2014B,179904.0,M,North Western Region,A Level or Equivalent,70-80%,0-35,0.0,90.0,N,Fail,17.0,5.0,High,1,0,0
CCC,2014B,180976.0,M,North Region,Lower Than A Level,,35-55,0.0,30.0,N,Pass,4525.0,1223.0,Low,1,0,1
CCC,2014B,183331.0,M,Ireland,Lower Than A Level,0-10%,0-35,0.0,90.0,N,Withdrawn,98.0,63.0,Low,1,1,0
CCC,2014B,187435.0,F,South Region,Lower Than A Level,50-60%,35-55,0.0,90.0,N,Distinction,1851.0,359.0,Low,1,0,1
